,id,timestamp,queue_delay_port_137,number_of_packets_for_average_port_137,queue_delay_port_136,number_of_packets_for_average_port_136
147,77,819871131026565,2200261762,147,78157,145
148,77,819871493365948,4156183348,347,185944,345
149,78,819871850517677,2168509781,277,148190,275
150,78,819872206236815,2864157200,242,129365,240
151,79,819872555614909,491316810,297,159032,295
152,79,819872908245092,413708671,312,149320,277
153,80,819873263071467,999211701,347,112702,209
154,80,819873610421638,3259636941,202,29696,55
155,81,819873963318166,2263527129,242,22137,41
156,81,819874315906738,4265958384,187,12932,24
157,82,819874670952962,577693002,347,63101,117
158,82,819875027946029,2526488313,327,40983,76
159,83,819875377978193,4139666163,147,25914,48
160,83,819875735191888,500720935,287,29094,54
161,84,819876086275768,1055473224,177,86266,160
162,84,819876444491895,1224709881,222,118627,220
163,85,819876792966383,72044745,282,150995,280
164,85,819877140091835,1109352043,137,73062,135
165,86,819877490084143,2622881193,122,65007,120
166,86,819877842075262,655886785,142,75748,140
167,87,819878189076783,1880663384,132,70375,130
168,87,819878544510850,4144412606,187,100043,185
169,88,819878895114307,1481541780,302,161838,300
170,88,819879249103699,3627207764,302,161828,300
171,89,819879606609710,1308777374,322,161101,299
172,89,819879964741732,39023776,292,104581,194
173,90,819880318540411,2174409060,302,121361,225
174,90,819880668739922,3696075952,272,128833,239
175,91,819881021724715,2872253386,337,93313,173
176,91,819881380813137,1121680310,182,53530,99
177,92,819881743166539,2679908611,332,178115,330
178,92,819882105502174,2626465967,317,170031,315
179,93,819882460384093,1027733888,252,134926,250
180,93,819882815862128,14154172,302,161944,300
181,94,819883177806236,1738416501,332,178006,330
182,94,819883534384224,553305439,332,163905,304
183,95,819883885743891,2799001516,192,66920,124
184,95,819884245305294,4274829706,277,141806,263
185,96,819884602775965,1514182140,322,121922,226
186,96,819884959952622,1745380327,237,50220,93
187,97,819885318632511,230252843,257,81343,151
188,97,819885678253524,2226461061,307,164401,305
189,98,819886037862051,644658683,327,175222,325
190,98,819886399895013,682633736,147,78211,145
191,99,819886762636343,4097398114,232,78732,146
192,99,819887121688768,3026569329,237,63159,117
193,100,819887481189149,4120621995,262,140314,260
194,100,819887838960872,1053377051,137,73176,135
195,101,819888193275541,3231986828,237,37395,69
196,101,819888547852515,884001243,267,20049,37
197,102,819888901322619,3849761309,212,23186,43
198,102,819889264832816,46389898,237,34568,64
199,103,819889615138853,199106757,317,40537,75
200,103,819889973879901,1913888818,337,69714,129
201,104,819890328052927,1890489288,337,116057,215
202,104,819890691105273,3237699870,232,124070,230
203,105,819891050014674,1783543249,247,132121,245
204,105,819891402817293,1581996768,327,166727,309
205,106,819891757858286,1425377368,352,68437,127
206,106,819892110384136,1450415878,352,24816,46
207,107,819892464705556,390462615,362,107930,200
208,107,819892826893733,527354107,362,45882,85
209,108,819893180089807,1382494332,297,50731,94
210,108,819893539039471,827455603,287,110227,204
211,109,819893894041006,4141428079,272,145918,270
212,109,819894252967663,3819578633,212,113611,210
213,110,819894612178180,3392138097,152,81283,150
214,110,819894966978756,2994546019,127,59019,109
215,111,819895325025546,1594869718,152,45499,84
216,111,819895683786092,2254634860,342,50292,93
217,112,819896035254583,1248449786,272,25419,47
218,112,819896385843010,922417196,242,41107,76
219,113,819896748767660,2994018635,282,40533,75
220,113,819897097646646,3117222126,337,181019,335
221,114,819897458886417,3546251444,247,132379,245
222,114,819897818076992,3494657252,292,156806,290
223,115,819898167750364,4166158512,257,67464,125
224,115,819898522995359,1423064102,207,102592,190
225,116,819898875949002,3560547983,142,75494,140
226,116,819899235027219,2277381818,132,70151,130
227,117,819899589977931,1663037524,227,121284,225
228,117,819899944749603,337673939,267,143178,265
229,118,819900292099045,1740789382,167,88969,165
230,118,819900648184173,4266471789,202,107872,200
231,119,819900998793719,1197254832,312,167236,310
232,119,819901361910540,3560028263,147,78218,145
233,120,819901725295939,4192105102,127,67730,125
234,120,819902078227833,2976829597,187,99761,185
235,121,819902429952160,965927004,337,180873,335
236,121,819902789407829,3354296449,347,48036,89
237,122,819903139488204,2555289848,212,29660,55
238,122,819903497551848,157840386,222,25890,48
239,123,819903858969348,3096464591,257,61650,114
240,123,819904214927623,2109177718,272,145665,270
241,124,819904570929439,2293503790,307,164645,305
242,124,819904924337600,1293715110,352,188635,350
243,125,819905267701309,3129865245,337,180552,335
244,125,819905622392910,1378313664,262,140274,260
245,126,819905974780237,486763113,317,169851,315
246,126,819906327946401,3990328642,237,126988,235
247,127,819906695129800,2636331219,177,94375,175
248,127,819907049833308,1329464550,347,186124,345
249,128,819907406013561,2881496607,282,151203,280
250,128,819907760253968,2185576650,292,35670,66
251,129,819908115943982,3866369786,207,42597,79
252,129,819908477376690,3861055041,262,65809,122
253,130,819908831059924,2648367723,252,24824,46
254,130,819909187976865,4192843333,207,60919,113
255,131,819909546225350,157859797,337,180644,335
256,131,819909906749328,1019771015,252,134828,250
257,132,819910268127246,3253817836,362,194048,360
258,132,819910620960253,3101922416,252,134844,250
259,133,819910981325687,2759354049,182,72761,135
260,133,819911340573957,2478633628,322,79813,148
261,134,819911703818899,2053246539,252,39381,73
262,134,819912060812111,59436742,217,41584,77
263,135,819912419986690,354781405,192,22625,42
264,135,819912786320339,2755204667,297,54530,101
265,136,819913145992988,651675683,147,19420,36
266,136,819913500982529,1453690837,137,15632,29
267,137,819913852760142,3002344515,137,23703,44
268,137,819914203978347,2900960521,137,30180,56
269,138,819914563053316,2842504373,167,45825,85
270,138,819914915028037,465703219,307,58211,108
271,139,819915273923502,3757138696,147,44212,82
272,139,819915629566989,309792659,307,164410,305
273,140,819915988114310,3210604759,207,110533,205
274,140,819916347784121,2470719806,332,177908,330
275,141,819916705896764,1840111621,317,169866,315
276,141,819917063773049,750272625,192,102534,190
277,142,819917423186061,3261608933,267,142921,265
278,142,819917780751290,2119575990,232,123950,230
279,143,819918141949542,1363170334,317,122514,227
280,143,819918495125951,2650663810,267,98111,182
281,144,819918854319966,2442392769,127,50760,94
282,144,819919208729366,65558563,142,29092,54
283,145,819919554840115,775204909,287,33446,62
284,145,819919906578663,1312870968,321,52908,98
285,146,819920254218349,693395564,278,110579,205
286,146,819920607832783,1446200409,172,92018,170
287,147,819920967310261,2230878239,202,107917,200
288,147,819921327244835,3091325296,347,185982,345
289,148,819921684041366,2414974933,262,140183,260
290,148,819922040416007,2366592970,267,93289,173
